"id","title","price","audit_status","audit_reason","link"
"1724736332","2 Kapaklı dolap","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/2-kapakl-dolap-iid-1724736332"
"1724365212","6 kapaklı dolap","2 TL","flagged","Yasaklı kelime: ""iletişime geçin""","https://www.letgo.com/item/6-kapakl-dolap-iid-1724365212"
"1709316945","ümraniye dolap kurulum montajı","1 TL","flagged","Ticari Satıcı: ""özel ölçü""","https://www.letgo.com/item/umraniye-dolap-kurulum-montaj-iid-1709316945"
"1723959137","FUL MDF 6 KAPILI DOLAP","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/ful-mdf-6-kapili-dolap-iid-1723959137"
"970448608","yatak odası dolap","1 TL","flagged","Ticari Satıcı: ""sipariş""","https://www.letgo.com/item/yatak-odas-dolap-iid-970448608"
"1717602459","gardırop","5 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/gardrop-iid-1717602459"
"1725193915","DOLAP ÜCRETSİZ VERİLECEKTİR YER SULTANGAZİ CUMHURİYET MAHALLESİ","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/dolap-ucretsiz-verilecektir-yer-sultangazi-cumhuriyet-mahallesi-iid-1725193915"
"1723274440","FUL MDF 6 KAPILI DOLAP","1 TL","flagged","Ticari Satıcı: ""taksit""","https://www.letgo.com/item/ful-mdf-6-kapili-dolap-iid-1723274440"
"1698517811","dolap ful mdf ürünler","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/dolap-ful-mdf-urunler-iid-1698517811"
"1670708029","Dolap 3 kapakl yapılır 4 kapak yapılır 5 kapak ypaılır","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/dolap-3-kapakl-yaplr-4-kapak-yaplr-5-kapak-ypalr-iid-1670708029"
"1693030673","dolap giysi ful mdf","1 TL","flagged","Ticari Satıcı: ""kapıda ödeme""","https://www.letgo.com/item/dolap-giysi-ful-mdf-iid-1693030673"
"1714446354","Dolap mdf ful","1 TL","flagged","Ticari Satıcı: ""imalattan""","https://www.letgo.com/item/dolap-mdf-ful-iid-1714446354"
"1707875021","dolap ful mdf ürün","1 TL","flagged","Ticari Satıcı: ""kapıda ödeme""","https://www.letgo.com/item/dolap-ful-mdf-urun-iid-1707875021"
"1706428903","dolap 4/5/6/8 kapaklı","1 TL","flagged","Ticari Satıcı: ""kapıda ödeme""","https://www.letgo.com/item/dolap-4568-kapakl-iid-1706428903"
